scenario,mechanism,run,tx_packets,rx_packets,lost_packets,pdr_percent,min_flow_pdr_percent,mean_delay_ms,delay_p50_ms,delay_p95_ms,goodput_kbps,olsr_control_packets,olsr_control_bytes,normalized_overhead,recovery_seconds,next_hop_changes,route_unavailable_samples,signal_transitions,failure_transitions,recoveries,disrupted_node
A,adaptive,103,8995,8777,218,97.576431,95.663776,4.699162,2.000000,3.000000,399.451022,832,81144,0.018057,-1.000000,4,0,0,0,0,-1
A,adaptive,104,8781,8604,177,97.984284,97.233378,8.928911,8.000000,19.000000,391.577600,790,79876,0.018132,-1.000000,8,15,0,0,0,-1
A,adaptive,105,8985,8982,3,99.966611,99.955466,1.895640,2.000000,2.000000,408.780800,820,79992,0.017394,-1.000000,0,0,0,0,0,-1
A,adaptive,106,8963,8963,0,100.000000,100.000000,1.796123,2.000000,2.000000,407.916089,780,78736,0.017157,-1.000000,0,0,0,0,0,-1
A,adaptive,107,8981,8980,1,99.988865,99.977703,1.841338,2.000000,2.000000,408.689778,822,80100,0.017422,-1.000000,1,0,0,0,0,-1
A,adaptive,108,8975,8878,97,98.919220,98.906494,2.534415,2.000000,2.000000,404.047644,792,79512,0.017492,-1.000000,4,0,0,0,0,-1
A,adaptive,109,8980,8980,0,100.000000,100.000000,1.802876,2.000000,2.000000,408.689778,784,78820,0.017143,-1.000000,1,0,0,0,0,-1
A,adaptive,110,8977,8977,0,100.000000,100.000000,1.794570,2.000000,2.000000,408.553244,826,80316,0.017474,-1.000000,0,0,0,0,0,-1
A,adaptive,111,8993,8993,0,100.000000,100.000000,1.790717,2.000000,2.000000,409.281422,803,79432,0.017251,-1.000000,1,0,0,0,0,-1
A,adaptive,112,8955,8955,0,100.000000,100.000000,1.818906,2.000000,2.000000,407.552000,796,79660,0.017374,-1.000000,5,0,0,0,0,-1
A,adaptive,113,8974,8974,0,100.000000,100.000000,1.798063,2.000000,2.000000,408.416711,770,78256,0.017032,-1.000000,0,0,0,0,0,-1
A,adaptive,114,8984,8984,0,100.000000,100.000000,1.860378,2.000000,2.000000,408.871822,786,78776,0.017126,-1.000000,0,0,0,0,0,-1
A,adaptive,115,8967,8967,0,100.000000,100.000000,1.820707,2.000000,2.000000,408.098133,797,79804,0.017382,-1.000000,0,0,0,0,0,-1
A,adaptive,116,8970,8970,0,100.000000,100.000000,1.810421,2.000000,2.000000,408.234667,819,80436,0.017514,-1.000000,2,0,0,0,0,-1
A,adaptive,117,8968,8920,48,99.464764,98.927853,2.145828,2.000000,2.000000,405.959111,824,80124,0.017544,-1.000000,1,0,0,0,0,-1
A,adaptive,118,8969,8968,1,99.988850,99.977664,1.824355,2.000000,2.000000,408.143644,782,78700,0.017140,-1.000000,5,0,0,0,0,-1
A,adaptive,119,8971,8971,0,100.000000,100.000000,1.823847,2.000000,2.000000,408.280178,851,81696,0.017786,-1.000000,4,0,0,0,0,-1
A,adaptive,120,8978,8978,0,100.000000,100.000000,1.868797,2.000000,2.000000,408.598756,811,79956,0.017394,-1.000000,0,0,0,0,0,-1
