B	signal84	113	--riskThresholdDbm=-84.0
C	detection_only	114	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=5.0
C	hello_only	114	--reactiveHelloSeconds=0.5 --reactiveTcSeconds=5.0
C	tc_only	114	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=1.0
C	failure20	114	--finalFailureThreshold=20
C	failure80	114	--finalFailureThreshold=80
B	signal78	114	--riskThresholdDbm=-78.0
B	signal84	114	--riskThresholdDbm=-84.0
C	detection_only	115	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=5.0
C	hello_only	115	--reactiveHelloSeconds=0.5 --reactiveTcSeconds=5.0
C	tc_only	115	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=1.0
C	failure20	115	--finalFailureThreshold=20
C	failure80	115	--finalFailureThreshold=80
B	signal78	115	--riskThresholdDbm=-78.0
B	signal84	115	--riskThresholdDbm=-84.0
C	detection_only	116	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=5.0
C	hello_only	116	--reactiveHelloSeconds=0.5 --reactiveTcSeconds=5.0
C	tc_only	116	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=1.0
C	failure20	116	--finalFailureThreshold=20
C	failure80	116	--finalFailureThreshold=80
B	signal78	116	--riskThresholdDbm=-78.0
B	signal84	116	--riskThresholdDbm=-84.0
C	detection_only	117	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=5.0
C	hello_only	117	--reactiveHelloSeconds=0.5 --reactiveTcSeconds=5.0
C	tc_only	117	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=1.0
C	failure20	117	--finalFailureThreshold=20
C	failure80	117	--finalFailureThreshold=80
B	signal78	117	--riskThresholdDbm=-78.0
B	signal84	117	--riskThresholdDbm=-84.0
C	detection_only	118	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=5.0
C	hello_only	118	--reactiveHelloSeconds=0.5 --reactiveTcSeconds=5.0
C	tc_only	118	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=1.0
C	failure20	118	--finalFailureThreshold=20
C	failure80	118	--finalFailureThreshold=80
B	signal78	118	--riskThresholdDbm=-78.0
B	signal84	118	--riskThresholdDbm=-84.0
C	detection_only	119	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=5.0
C	hello_only	119	--reactiveHelloSeconds=0.5 --reactiveTcSeconds=5.0
C	tc_only	119	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=1.0
C	failure20	119	--finalFailureThreshold=20
C	failure80	119	--finalFailureThreshold=80
B	signal78	119	--riskThresholdDbm=-78.0
B	signal84	119	--riskThresholdDbm=-84.0
C	detection_only	120	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=5.0
C	hello_only	120	--reactiveHelloSeconds=0.5 --reactiveTcSeconds=5.0
C	tc_only	120	--reactiveHelloSeconds=2.0 --reactiveTcSeconds=1.0
C	failure20	120	--finalFailureThreshold=20
C	failure80	120	--finalFailureThreshold=80
B	signal78	120	--riskThresholdDbm=-78.0
B	signal84	120	--riskThresholdDbm=-84.0
C	failure_disabled	102	--enableFailureTrigger=false
