scenario,run,metric,adaptive_minus_baseline
A,115,delay_p95_ms,0.0
A,115,goodput_kbps,0.0
A,115,normalized_overhead,0.0
A,115,recovery_seconds,0.0
A,115,next_hop_changes,0.0
A,115,route_unavailable_samples,0.0
A,115,signal_transitions,0.0
A,115,failure_transitions,0.0
A,115,recoveries,0.0
A,116,pdr_percent,0.0
A,116,min_flow_pdr_percent,0.0
A,116,delay_p50_ms,0.0
A,116,delay_p95_ms,0.0
A,116,goodput_kbps,0.0
A,116,normalized_overhead,0.0
A,116,recovery_seconds,0.0
A,116,next_hop_changes,0.0
A,116,route_unavailable_samples,0.0
A,116,signal_transitions,0.0
A,116,failure_transitions,0.0
A,116,recoveries,0.0
A,117,pdr_percent,0.0
A,117,min_flow_pdr_percent,0.0
A,117,delay_p50_ms,0.0
A,117,delay_p95_ms,0.0
A,117,goodput_kbps,0.0
A,117,normalized_overhead,0.0
A,117,recovery_seconds,0.0
A,117,next_hop_changes,0.0
A,117,route_unavailable_samples,0.0
A,117,signal_transitions,0.0
A,117,failure_transitions,0.0
A,117,recoveries,0.0
A,118,pdr_percent,0.0
A,118,min_flow_pdr_percent,0.0
A,118,delay_p50_ms,0.0
A,118,delay_p95_ms,0.0
A,118,goodput_kbps,0.0
A,118,normalized_overhead,0.0
A,118,recovery_seconds,0.0
A,118,next_hop_changes,0.0
A,118,route_unavailable_samples,0.0
A,118,signal_transitions,0.0
A,118,failure_transitions,0.0
A,118,recoveries,0.0
A,119,pdr_percent,0.0
A,119,min_flow_pdr_percent,0.0
A,119,delay_p50_ms,0.0
A,119,delay_p95_ms,0.0
A,119,goodput_kbps,0.0
A,119,normalized_overhead,0.0
A,119,recovery_seconds,0.0
A,119,next_hop_changes,0.0
A,119,route_unavailable_samples,0.0
A,119,signal_transitions,0.0
A,119,failure_transitions,0.0
A,119,recoveries,0.0
A,120,pdr_percent,0.0
A,120,min_flow_pdr_percent,0.0
A,120,delay_p50_ms,0.0
A,120,delay_p95_ms,0.0
A,120,goodput_kbps,0.0
A,120,normalized_overhead,0.0
A,120,recovery_seconds,0.0
A,120,next_hop_changes,0.0
A,120,route_unavailable_samples,0.0
A,120,signal_transitions,0.0
A,120,failure_transitions,0.0
A,120,recoveries,0.0
B,101,pdr_percent,0.0
B,101,min_flow_pdr_percent,0.0
B,101,delay_p50_ms,0.0
B,101,delay_p95_ms,-1.0
B,101,goodput_kbps,0.0
B,101,normalized_overhead,0.001288000000000001
B,101,recovery_seconds,0.0
B,101,next_hop_changes,-3.0
B,101,route_unavailable_samples,0.0
B,101,signal_transitions,1.0
B,101,failure_transitions,0.0
B,101,recoveries,0.0
B,102,pdr_percent,-0.4752819999999929
B,102,min_flow_pdr_percent,-1.8084699999999998
B,102,delay_p50_ms,0.0
B,102,delay_p95_ms,1.0
B,102,goodput_kbps,-7.918932999999981
B,102,normalized_overhead,0.0015720000000000005
B,102,recovery_seconds,-1.0
B,102,next_hop_changes,-5.0
B,102,route_unavailable_samples,11.0
B,102,signal_transitions,1.0
B,102,failure_transitions,0.0
B,102,recoveries,0.0
B,103,pdr_percent,-0.02223500000000911
B,103,min_flow_pdr_percent,-0.044464000000004944
B,103,delay_p50_ms,0.0
B,103,delay_p95_ms,0.0
B,103,goodput_kbps,-0.09102199999995264
B,103,normalized_overhead,0.004224000000000002
B,103,recovery_seconds,0.0
B,103,next_hop_changes,0.0
B,103,route_unavailable_samples,0.0
B,103,signal_transitions,3.0
B,103,failure_transitions,0.0
B,103,recoveries,0.0
B,104,pdr_percent,2.106821999999994
B,104,min_flow_pdr_percent,3.486739
B,104,delay_p50_ms,0.0
B,104,delay_p95_ms,0.0
B,104,goodput_kbps,8.419556
B,104,normalized_overhead,0.0019470000000000008
B,104,recovery_seconds,0.0
B,104,next_hop_changes,1.0
B,104,route_unavailable_samples,0.0
B,104,signal_transitions,2.0
B,104,failure_transitions,0.0
B,104,recoveries,0.0
B,105,pdr_percent,-0.10275300000000698
B,105,min_flow_pdr_percent,-0.1214650000000006
B,105,delay_p50_ms,0.0
B,105,delay_p95_ms,0.0
B,105,goodput_kbps,-0.7281779999999571
B,105,normalized_overhead,0.0036419999999999994
B,105,recovery_seconds,0.0
B,105,next_hop_changes,-2.0
B,105,route_unavailable_samples,1.0
B,105,signal_transitions,2.0
B,105,failure_transitions,0.0
B,105,recoveries,0.0
B,106,pdr_percent,-0.022313999999994394
B,106,min_flow_pdr_percent,-0.04461299999999824
B,106,delay_p50_ms,0.0
B,106,delay_p95_ms,0.0
B,106,goodput_kbps,-0.09102200000000948
B,106,normalized_overhead,0.0012729999999999998
B,106,recovery_seconds,0.0
B,106,next_hop_changes,0.0
B,106,route_unavailable_samples,0.0
B,106,signal_transitions,1.0
B,106,failure_transitions,0.0
B,106,recoveries,0.0
B,107,pdr_percent,-0.30063499999999976
B,107,min_flow_pdr_percent,-0.6005339999999961
B,107,delay_p50_ms,0.0
B,107,delay_p95_ms,1.0
B,107,goodput_kbps,-1.2287999999999784
B,107,normalized_overhead,0.003887999999999999
B,107,recovery_seconds,0.0
B,107,next_hop_changes,2.0
B,107,route_unavailable_samples,0.0
B,107,signal_transitions,2.0
B,107,failure_transitions,0.0
B,107,recoveries,0.0
B,108,pdr_percent,0.0
B,108,min_flow_pdr_percent,0.0
B,108,delay_p50_ms,0.0
B,108,delay_p95_ms,1.0
B,108,goodput_kbps,0.0
B,108,normalized_overhead,0.003100000000000002
B,108,recovery_seconds,0.0
B,108,next_hop_changes,0.0
B,108,route_unavailable_samples,0.0
B,108,signal_transitions,2.0
B,108,failure_transitions,0.0
B,108,recoveries,0.0
B,109,pdr_percent,0.0
B,109,min_flow_pdr_percent,0.0
B,109,delay_p50_ms,0.0
B,109,delay_p95_ms,1.0
B,109,goodput_kbps,0.0
B,109,normalized_overhead,0.0013779999999999973
B,109,recovery_seconds,0.0
B,109,next_hop_changes,0.0
B,109,route_unavailable_samples,0.0
B,109,signal_transitions,1.0
B,109,failure_transitions,0.0
B,109,recoveries,0.0
B,110,pdr_percent,0.2673499999999933
B,110,min_flow_pdr_percent,0.5360730000000018
B,110,delay_p50_ms,0.0
B,110,delay_p95_ms,1.0
B,110,goodput_kbps,1.0922670000000494
B,110,normalized_overhead,0.002596000000000001
B,110,recovery_seconds,0.0
B,110,next_hop_changes,2.0
B,110,route_unavailable_samples,0.0
B,110,signal_transitions,3.0
B,110,failure_transitions,0.0
B,110,recoveries,0.0
B,111,pdr_percent,-0.011120000000005348
B,111,min_flow_pdr_percent,-0.022247000000007233
B,111,delay_p50_ms,0.0
B,111,delay_p95_ms,0.0
B,111,goodput_kbps,-0.04551099999997632
B,111,normalized_overhead,0.002485000000000001
B,111,recovery_seconds,0.0
B,111,next_hop_changes,0.0
B,111,route_unavailable_samples,0.0
B,111,signal_transitions,3.0
B,111,failure_transitions,0.0
B,111,recoveries,0.0
B,112,pdr_percent,0.0
B,112,min_flow_pdr_percent,0.0
B,112,delay_p50_ms,0.0
B,112,delay_p95_ms,1.0
B,112,goodput_kbps,0.0
B,112,normalized_overhead,0.003497
B,112,recovery_seconds,0.0
